Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Laryngitis; Catarrhal : ,"am-i., kali-bi., menthol.",
Homeosetu Clinical Repertory; Boericke; Laryngitis; Chronic : ,"nat-sel., thuj.",
Homeosetu Clinical Repertory; Boericke; Laryngitis; Tubercular :,"inul., lyc., sel.",
Homeosetu Clinical Repertory; Boericke; Larynx; Affections of : ,still.,
Homeosetu Clinical Repertory; Boericke; Larynx; Catarrh of : ,"am-br., cot., irid., kali-bi., sanguin-n., seneg.",
Homeosetu Clinical Repertory; Boericke; Larynx; Dryness of : ,"bell., coch., con., crot-h., dubin., lem-m., mang., naja., pop-c., Spong., zinc.",
Homeosetu Clinical Repertory; Boericke; Larynx; Pain in : ,"ant-t., bell., coll., hydr-ac., inul., iod., just., kreos., lach., merc-c., Osm., phos., sant.",
Homeosetu Clinical Repertory; Boericke; Larynx; Spasm of :,"canth., carb-v., hydr-ac., led., nicot., ox-ac., stry.",
Homeosetu Clinical Repertory; Boericke; Laughter :,"agar., arg., camph-br., cann-i., con., Croc., cypr., dros., graph., hyos., iber., mang., mang-o., mosch., nat-m., nux-m., phos., spig-m., Stann., stram., stry-p., tell., ziz.",
Homeosetu Clinical Repertory; Boericke; Laughter; Involuntary : ,"agar., mang.",
Homeosetu Clinical Repertory; Boericke; Lead colic :,op.,
Homeosetu Clinical Repertory; Boericke; Lead colic; Poisoning : ,"iod., sul-ac.",
Homeosetu Clinical Repertory; Boericke; Legs; Jerking of :,"bruc., meny.",
Homeosetu Clinical Repertory; Boericke; Legs; Pains in : ,"am-br., ap-g., bar-acet., bruc., bry., bufo., con., fago., guai., mag-c., nicc-s., phyt., puls., sil., stel., teucr., ulm.",
Homeosetu Clinical Repertory; Boericke; Legs; Swelling of : ,"agav-a., colch., lath., merc., samb.",
Homeosetu Clinical Repertory; Boericke; Leprosy :,"anac-oc., bix., Calo., chaul., com., cupr-acet., cur., elae., ho., hura., Hydrc., pip-m.",
Homeosetu Clinical Repertory; Boericke; Leprosy; Tubercular :,calo.,
Homeosetu Clinical Repertory; Boericke; Leukemia : ,"benz., cean., x-ray.",
Homeosetu Clinical Repertory; Boericke; Leucocythemia :,kali-hp.,
Homeosetu Clinical Repertory; Boericke; Leucocytosis : ,"antipyrin., bar-i., chin-s., iod., nat-m.",
Homeosetu Clinical Repertory; Boericke; Leucorrhea :,"aesc., agar., agn., alet., aln., alum., am-c., am-m., ambr., anac., ant-c., antipyrin., aral., arg., arg-n., ars., asar., asc-i., aur-m., baros., berb., bor., bov., bufo., calc., calc-ar., calc-o-t., calc-p., calc-sil., calen., carb-ac., carb-v., caul., caust., cean., cham., chin., cinnb., cist., cocc., con., cub., cur., dict., echi., erig., eucal., Eupi., fago., ferr-br., ferr-i., fl-ac., frax., graph., grat., gua., haem., ham., hedeom., helon., hep., hydr., hydrc., iod., joan., kali-bi., kali-fcy., kali-i., kali-m., kali-ma., kali-n., kalm., kreos., lac-v-f., lam., lil-t., lyc., mag-c., mag-m., mag-s., manz., med., merc., mez., mur-ac., murx., nabal., nat-c., nat-h., nat-m., nat-p., nat-s., nicc., nit-ac., nux-m., nym., onos., orig., pall., paraf., petr., ph-ac., phos., pic-ac., psor., pulx., rob., rumx-ob., sabin., sang., sanic., sec., sep., sil., spira., stann., staph., sul-ac., sulph., syph., thlaspi., thuj., til., tril., urt-u., vib., xan., xero., ziz.",
"Homeosetu Clinical Repertory; Boericke; Leucorrhea; Children, in :",carb-ac.,
"Homeosetu Clinical Repertory; Boericke; Leucorrhea; Little girls, in :",cub.,
Homeosetu Clinical Repertory; Boericke; Lichen :,"anac., kali-ar., sul-i.",
Homeosetu Clinical Repertory; Boericke; Lichen; Planus :,"anac., sul-i.",
Homeosetu Clinical Repertory; Boericke; Lienteria :,pancreat.,
Homeosetu Clinical Repertory; Boericke; Lipoma : ,"lap-a., ur-ac.",
Homeosetu Clinical Repertory; Boericke; Lips; Cancer of : ,oxal.,
Homeosetu Clinical Repertory; Boericke; Lips; Cracked : ,"aloe., bry., echi., hell., hep., mur-ac., oxyt., ph-ac., pip-n., puls., sep., sil., thlaspi.",
Homeosetu Clinical Repertory; Boericke; Lips; Epithelioma of : ,"ars., ars-i., cund.",
Homeosetu Clinical Repertory; Boericke; Lips; Eruption on :,sep.,
Homeosetu Clinical Repertory; Boericke; Lips; Sore :,"am-m., arum-t., calc-s., conv., frax., nat-p., rham-cal.",
Homeosetu Clinical Repertory; Boericke ; Lips; Stiffness of :,euphr.,
Homeosetu Clinical Repertory; Boericke; Lips; Swelling of : ,"antipyrin., apis., Bar-c., bell., bov., bry., calc., crot-h., mangi., merc-c., nat-c., nat-m., psor., puls., vip.",
"Homeosetu Clinical Repertory; Boericke; Lips; Upper, eruption on : ",sars.,
Homeosetu Clinical Repertory; Boericke; Lithaemia : ,"lyc., skook.",
Homeosetu Clinical Repertory; Boericke; Lithiasis : ,"aspar., cice., junc., physal., stigm., urt-u.",
Homeosetu Clinical Repertory; Boericke; Liver; Abscess of :,bold.,
Homeosetu Clinical Repertory; Boericke; Liver; Affections of : ,"am-m., chelo., cice., euon-a., fab., Mag-m., mang-s., ptel., querc., sel.",
"Homeosetu Clinical Repertory; Boericke; Liver; Atrophy of, acute yellow : ","lyc., phos.",
Homeosetu Clinical Repertory; Boericke; Liver; Cancer of : ,chol.,
Homeosetu Clinical Repertory; Boericke; Liver; Cirrhosis of : ,"cur., fel., kali-bi., merc-d., nast., nit-m-ac., quas., senec.",
Homeosetu Clinical Repertory; Boericke; Liver; Congestion of : ,"aesc., am-m., bold., euon-a., phos., trom.",
Homeosetu Clinical Repertory; Boericke; Liver; Diseases of : ,"Card-m., corn., liatr., lyc.",
Homeosetu Clinical Repertory; Boericke; Liver; Enlargement of : ,"ars., baj., calc-ar., card-m., chel., dig., ferr-ar., Mag-m., mang., merc., sel., Senn., ser-ang., tarax., Vip., zinc.",
Homeosetu Clinical Repertory; Boericke; Liver; Fatty :,"agar-ph., carbn-chl., kali-bi., mang., phlor., vanad.",
Homeosetu Clinical Repertory; Boericke; Liver; Hyperaemia of :,card-m.,
Homeosetu Clinical Repertory; Boericke; Liver; Hypertrophy of : ,"dig., merc-d.",
Homeosetu Clinical Repertory; Boericke; Liver; Induration of : ,"tarax., zinc.",
Homeosetu Clinical Repertory; Boericke; Liver; Pain in :,"agar., aloe., ars-met., calc., calc-s., carb-v., card-m., cean., chel., chelo., colch., crot-h., dig., Dios., iber., jatr., jug-c., kali-sil., mag-m., med., ol-j., ph-ac., physal., podo., prim-o., ptel., ran-s., raph., sang., scroph-n., sel., sep., sulph., trich-d., vip.",
Homeosetu Clinical Repertory; Boericke; Liver; Rash over region of : ,sel.,
Homeosetu Clinical Repertory; Boericke; Liver; Soreness of : ,"ars-met., bry., cadm., dig., eup-per., fl-ac., hip-ac., iod., iris., jug-c., kali-c., merc., nat-s., ptel., sep., sulph., zinc.",
Homeosetu Clinical Repertory; Boericke; Liver; Torpid : ,"abies-c., euon-a., hydr., nit-m-ac., podo., still.",
Homeosetu Clinical Repertory; Boericke; Liver-cough : ,hep.,
Homeosetu Clinical Repertory; Boericke; Liver-spots :,"cur., plb.",
Homeosetu Clinical Repertory; Boericke; Lochia; Fetid :,bapt.,
Homeosetu Clinical Repertory; Boericke; Lochia; Offensive :,"bell., carb-an., crot-h., kreos., pyrog., rhus-t., sec.",
Homeosetu Clinical Repertory; Boericke; Lochia; Too profuse : ,"erig., ust.",
Homeosetu Clinical Repertory; Boericke; Lochia; Suppressed : ,"aral., hyos., leon., op., zinc.",
Homeosetu Clinical Repertory; Boericke; Lock-jaw : ,oena.,
Homeosetu Clinical Repertory; Boericke; Locomotor ataxy :,"agar., alum-m., ars-br., chr-s., cund., dubin., ferr-pic., helo., kalm., oxyt., pedi-can., phos-h., phys., picro., plb., plb-p., sec., thal., zinc-p.",
Homeosetu Clinical Repertory; Boericke; Loquacity : ,"agar., ambr., cann-i., crot-h., lach., oper., past., Podo., pyrog., stram.",
Homeosetu Clinical Repertory; Boericke; Lumbago :,"agar., Aloe., ant-t., arbu., bar-acet., bell., berb., calc-f., cast-v., cham., ferr., gins., gnaph., guai., hydr., kali-c., kali-ox., nat-sal., pimp., res., rham-cal., ruta., slag., spira.",
"Homeosetu Clinical Repertory; Boericke; Lumbago , Alternating Headache : ",aloe.,
Homeosetu Clinical Repertory; Boericke; Lumbrici :,"helm., sant., ter.",
Homeosetu Clinical Repertory; Boericke; Lungs; Affections of : ,"calc-hp., elaps., gels.",
Homeosetu Clinical Repertory; Boericke; Lungs; Catarrh of :,"am-i., bold., mati.",
Homeosetu Clinical Repertory; Boericke; Lungs; Congestion of :,"adren., bac., dig., ferr-p., hydr-ac., kali-n., phos., sulfon., Verat-v.",
Homeosetu Clinical Repertory; Boericke; Lungs; Hemorrhage from :,"agar-ph., aran., carb-v., chin., cist., elaps., fic-v., gall-ac., mati., hir-m., solid.",
Homeosetu Clinical Repertory; Boericke; Lungs; Hepatization of : ,emetin.,
Homeosetu Clinical Repertory; Boericke; Lungs; Oedema of :,"am-i., bold., coch., jab., stroph.",
Homeosetu Clinical Repertory; Boericke; Lungs; Paralysis of :,"ant-t., hydr-ac., laur., lob-p., merc-cy., mosch., solin.",
Homeosetu Clinical Repertory; Boericke; Lupus :,"abr., aq-mar., ars., aur-ar., aur-i., calc-s., cist., cund., form., Form-ac., guare., hydr., Hydrc., irid., kreos., nat-sil-f., scroph-n., thiosin., thyr., Titan.",
"Homeosetu Clinical Repertory; Boericke; Lymphatic glands, enlarged : ","astac., iod., oper.",
Homeosetu Clinical Repertory; Boericke; Lymphatic swellings :,"aeth., both-l., cory., hippoz., nat-p.",
Homeosetu Clinical Repertory; Boericke; Lyssophobia :,lyss.,
Homeosetu Clinical Repertory; Boericke; Malar bones; Pain in : ,"cere-b., mag-c., stann.",
Homeosetu Clinical Repertory; Boericke; Malaria : ,"alst-s., am-pic., anemps., aran., ars., bapt., bold., cact., calc-ar., cean., cedr., chin-ar., chin-s., corn., corn-f., echi., elat., eucal., eup-per., grin., lap-a., lept., Malar., methyl., nat-m., nicc-s., ost., parth., pyrog., querc., shucks.",
Homeosetu Clinical Repertory; Boericke; Malaria; Chronic :,"calc-ar., corn., corn-f., grin., nat-m., pyrog., Shucks.",
Homeosetu Clinical Repertory; Boericke; Malarial; Anaemia : ,ost.,
Homeosetu Clinical Repertory; Boericke; Malarial; Cachexia : ,"ars., malar.",
Homeosetu Clinical Repertory; Boericke; Malarial; Fevers : ,"am-pic., cact., Echi., nat-m., parth.",
Homeosetu Clinical Repertory; Boericke; Malignant pustule :,ars.,
"Homeosetu Clinical Repertory; Boericke; Mammae, affections of : ",aur-s.,
Homeosetu Clinical Repertory; Boericke; Mania : ,"apis., astra-me., bar-m., cann-i., canth., cedr., cimic., croc., diosm., dubin-s., euph., hell., hyos., hyosin., kali-br., nat-s., passi., sol-n., spig-m., stram., tub., Verat., zea-i.",
Homeosetu Clinical Repertory; Boericke; Mania; Suicidal : ,kali-br.,
Homeosetu Clinical Repertory; Boericke; Mastitis : ,"arn., bell., Lac-c., Phyt.",
Homeosetu Clinical Repertory; Boericke; Masturbation : ,"art-v., bar-c., bell-p., cina., orig., ph-ac., salx-n., trib., Ust., zinc-s.",
Homeosetu Clinical Repertory; Boericke; Masturbation; Effects of : ,bell-p.,
Homeosetu Clinical Repertory; Boericke; Measles : ,"acon., benz., camph., chlol., coff., dig., euphr., Gels., hoit., jatr., puls., spong., squil., stict., tub.",
Homeosetu Clinical Repertory; Boericke; Measles; Cough of :,"coff., squil., stict.",
Homeosetu Clinical Repertory; Boericke; Megrim :,"aml-n., anh., aur-br., brom., calc-acet., cycl., menis.",
Homeosetu Clinical Repertory; Boericke; Melancholy :,"agar., agn., am-m., anac., arg., arg-n., bapt., cact., cic., coca., croc., dig., fic., hell., Helon., hyper., ign., iod., Kali-br., lach., lyc., med., morph., naja., nat-s., olnd., plat., plb., psor., puls., rhus-v., sel., sulph., thyr., tub., vanad., verat., zinc., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Melancholy; Religious :,"psor., puls., sulph.",
Homeosetu Clinical Repertory; Boericke; Membranous dysmenorrhoea :,"bor., calc-acet., coll., helio., mag-p., vib.",
Homeosetu Clinical Repertory; Boericke; Memory; Loss of :,"absin., bar-c., carb-v., chlor., euon-a., Kali-br., kali-p., lat-h., merc., onos., phos., plb., syph., trif-p., zinc-pic.",
Homeosetu Clinical Repertory; Boericke; Memory; Weak :,"anac., arg-n., ars-met., aur., bar-c., Con., lyc., med., merc., olnd., physal., zinc.",
Homeosetu Clinical Repertory; Boericke; Memory; Weakened :,"anac., arg-n., ars-met., aur., bar-c., Con., lyc., med., merc., olnd., physal., zinc.",
Homeosetu Clinical Repertory; Boericke; Meniere's disease : ,"am-i., Carb-s., chen-a., chin-sal., nat-sal., piloc., sal-ac.",
Homeosetu Clinical Repertory; Boericke; Meningitis : ,"bac., cic., crot-h., cupr., cupr-cy., cyt-l., echi., glon., Iodof., kali-i., merc-d., nat-s., oreo., phys., sol-n., tub., verat-v., Zinc-cy.",
Homeosetu Clinical Repertory; Boericke; Menopause : ,"absin., agar., am-val., caps., helon., mang., sep., vip.",
Homeosetu Clinical Repertory; Boericke; Menorrhagia : ,"ars., calen., cinnam., erig., erod., ferr-s., Fic., hed., hydr., joan., lac-v-f., manz., pall., plb., sabin., salx-n., sed-t., stroph., ust., vinc., yohim.",
Homeosetu Clinical Repertory; Boericke; Menorrhagia; Climaxis at :,ust.,
Homeosetu Clinical Repertory; Boericke; Menstrual; Colic : ,"calc., cocc., cur., joan., mag-p., med., sec., Verat-v.",
Homeosetu Clinical Repertory; Boericke; Menstrual; Headache :,"all-c., calc., calc-s., cimic., cur., glon., glyc., kreos., sulph., ust.",
Homeosetu Clinical Repertory; Boericke; Menstruation : ,"acon., aesc., aeth., agar., agn., agri., alet., all-c., all-s., aloe., alum., alumn., am-c., am-m., ambr., anac., ant-c., antipyrin., apis., aquil., aral., aran., arg-n., arge., ars., art-v., arund., asar., bapt., bar-c., bell., berb., bor., Bov., brom., bry., bufo., cact., Calc., calc-p., calc-s., calc-sil., calen., cann-i., canth., carb-an., carb-v., caul., caust., cean., chel., chin., chion., cic., cimic., cinnam., cit-l., coc-c., cocc., coff., coll., coloc., con., cop., croc., crot-h., cupr., cur., cycl., dam., dig., dulc., elaps., epip., erig., euphr., eupi., ferr., ferr-i., ferr-m., ferr-p., ferr-pic., fl-ac., gels., ger., glon., glyc., gnaph., goss., graph., grat., guai., haem., ham., helon., hep., hip-ac., hydr., hyos., ichth., ign., inul., iod., ip., joan., jug-r., kali-ar., kali-c., kali-i., kali-m., kali-n., kali-p., kali-s., kalm., Kreos., lac-c., lac-d., lach., lam., leon., lil-t., lith-c., lyc., mag-c., mag-m., mag-p., Mag-s., mang., med., meli., merc., merl., mez., mill., mom-b., mosch., mur-ac., murx., nat-c., nat-m., nat-p., nat-s., nat-sal., nicc., nicc-s., nit-ac., nux-m., nux-v., oena., ol-an., onos., op., pall., paraf., petr., ph-ac., phos., phys., phyt., pic-ac., pin-l., pisc., plat., podo., puls., pulx., pyrog., rad-br., raph., rhus-t., rob., rosm., sabad., sabin., salx-n., sang., hir-m., sapin., sars., sec., senec., sep., sil., spong., stann., staph., sul-ac., sulph., sym-r., tanac., tarent., thlaspi., thuj., tub., uran-n., ust., valer., vanil., verat., verat-v., vesp., vib., vib-p., vinc., xan., zinc., ziz.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Arrested :,"chion., ferr-m.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Breasts painful during :,bry.,
Homeosetu Clinical Repertory; Boericke; Menstruation; Delayed : ,"caust., con., glon., graph., joan., kali-c., pin-l., puls., pulx., rad-br., uran-n.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Diarrhoea before :,bov.,
Homeosetu Clinical Repertory; Boericke; Menstruation; Disorders of : ,caul.,
"Homeosetu Clinical Repertory; Boericke; Menstruation; Early, too : ","aloe., alum., am-c., am-m., ambr., ant-c., aran., arund., asar., bapt., bov., brom., bry., bufo., cact., calc., calc-p., canth., carb-an., chin., cinnam., coc-c., cocc., coff., cur., Eupi., ferr., ign., inul., ip., jug-r., kali-c., kali-n., kalm., kreos., lac-c., lam., lil-t., mag-p., mag-s., mang., mill., mosch., nat-p., nit-ac., nux-v., ol-an., onos., ph-ac., phos., plat., rhus-t., rosm., stann., sul-ac., tub., verat., xan.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Early and profuse : ,"aloe., am-c., ant-c., arund., bapt., bov., brom., bry., calc., canth., cinnam., coc-c., ferr., ign., ip., kali-c., kali-n., lac-c., mill., mosch., nit-ac., ph-ac., phos., plat., rhus-t., stann., sul-ac., tub., verat.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Excessive : ,"calc-p., cit-l., con., mom-b., vinc.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Irregular : ,"bry., calc-sil., cycl., guai., iod., joan., murx., nat-m., nux-m., phys., pisc., rad-br., sec., ust., vib-p.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Late : ,"calc-s., caust., chel., cupr., graph., hep., kali-i., kali-m., kali-p., kali-s., lyc., mag-c., nat-c., nicc., paraf., sabad., sars., sep., sulph., valer., vib., zinc.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Painful : ,"alet., am-m., aquil., arg-n., bar-c., bry., calc., calc-sil., cann-i., chin., cimic., cit-l., con., cop., cur., epip., euphr., gnaph., inul., joan., kreos., lith-c., mag-s., merc., Mom-b., murx., pin-l., pisc., rosm., salx-n., sapin., spong., vesp., xan.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Premature :,"alet., carb-v., grat., senec.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Profuse : ,"acon., alet., am-c., ant-c., ars., art-v., bapt., bor., brom., bry., calc., cann-i., caul., cean., chin., cimic., cinnam., coc-c., cocc., cop., cycl., ferr., ger., grat., ham., helon., kali-c., kali-i., kali-n., lac-c., mag-s., med., merc., mez., mill., mom-b., mosch., murx., nat-m., nit-ac., ph-ac., plat., raph., rhus-t., sabin., sang., Sanguis., senec., stann., sul-ac., tanac., tarent., thuj., tub., ust., verat., ziz.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Protracted :,"cupr., mill.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Retarded : ,"gels., senec., thuj., ziz.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Scanty : ,"agn., alum., anac., aquil., bar-c., berb., con., ferr-i., gels., gnaph., hep., kali-s., lam., lil-t., mag-c., mang., meli., merl., nat-c., nicc., ol-an., phos., sang., sars., Sep., sulph., thuj., valer., vib.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Suppressed : ,"ant-c., antipyrin., apis., aral., arge., calen., con., cupr., dulc., Ferr-i., glon., goss., helon., kali-m., kalm., leon., Mill., nat-m., op., plat., podo., puls., sabin., sang., senec., tanac., verat-v., zinc.",
Homeosetu Clinical Repertory; Boericke; Menstruation; Vicarious : ,"ham., phos., ust.",
Homeosetu Clinical Repertory; Boericke; Mental apathy : ,"gels., oxyt., sulfon.",
Homeosetu Clinical Repertory; Boericke; Mental derangement : ,aur.,
Homeosetu Clinical Repertory; Boericke; Mental despondency : ,"euon-a., ust.",
Homeosetu Clinical Repertory; Boericke; Mental weakness : ,"bar-c., nat-c.",
Homeosetu Clinical Repertory; Boericke; Mercurial syphilis : ,"aur., fl-ac.",
Homeosetu Clinical Repertory; Boericke; Metritis :,"apis., canth., inul., kali-i., Mel-c-s., phos., hir-m., ter., til.",
Homeosetu Clinical Repertory; Boericke; Metrorrhagia : ,"apis., apoc., bad., bov., dict., diosm., erig., erod., fuli., Ham., hydrin-m., joan., kali-s., mag-m., med., nat-h., nit-ac., nux-v., polyg., stram., ter., thlaspi., tril., visc.",
